编号	资质	描述
23	Good	此人过度关注自己的容貌，为了不弄脏衣服，练就一身神奇的身法，举手投足不起烟尘。
24	Good	此人原为秀坊的宫女，精通绣艺，既可银针防身，亦可织锦营生。
25	Good	此人貌若天仙，身边总是会跟随一帮粉丝，但粉丝俨然有序，还有秘籍赠予门派。
26	Good	此人真气浑厚，有小十年之功，但这些真气实非同源，郁结纠缠，有走火入魔的风险。
27	Good	此人身体轻盈，修习轻功如鱼得水，同时也因此难以对敌人造成实质性的伤害。
28	Good	此人家中经营饭庄，家丁时常会送来吃食，与门中众弟子同享，解决了门派的伙食问题。
29	Good	此人资质较差，学习缓慢，但性格坚毅，假以时日，想来能在武道上一往无前。
30	Good	此人带艺在身，路数不明，拜在门下虽可省去锤炼基础之功，但恐有异心，望少侠斟酌。
31	Good	此人家财万贯，虽然天赋平平，但可以为门派带来不小的收入。
32	Good	此人心思粗耿，难以理解繁杂的武技变化，因此一直练习直拳，瞄准一点，登峰造极。
33	Good	此人为阳年阳月阳日出生的纯阳血脉，但有灵符护体，驱散炎气，增长功力。
34	Good	此人貌似潘安，身边总是会跟随一帮粉丝，但粉丝俨然有序，还有秘籍赠予门派。
35	Good	此人貌似潘安，身边总是会跟随一帮粉丝，但粉丝俨然有序，还有秘籍赠予门派。
36	Good	此人嗜食佳肴，家中贫困不能灶火，只好练习内功加热，练成后想要施展就必须美食相伴。
37	Good	此人原为禁军，精通枪术，但囿于身份不能公开施展。
38	Good	此人慈悲心肠，无论敌我都能感化，让其收起争斗之心，举手投足间有佛光隐现。
39	Good	此人身怀麒麟血脉，额上生角，有九龙九象之力，但难以自控，时常疯狂，荼毒山河。
40	Good	此人天生力大无穷，但身体过于强壮，行动极慢，难以抵挡矮小敌人的攻击。
41	Perfect	此人为当朝公主，衷情于武学，若能将公主收入门中，天下第一大派指日可待。
42	Perfect	此人为觉醒的玄阴血脉，根骨天赋极佳，若遇上阳极的纯阳血脉，则可同化龙凤。
43	Perfect	此人貌若天仙，一颦一蹙，众生倾倒，不出手就能打倒一片敌人。
44	Perfect	此人在放羊时，自白猿身上学会了一身神妙剑术，稍加教导，剑可通神。
45	Perfect	此人貌若天仙，粉丝遍布神州，一呼百应，门派壮大轻而易举。
46	Perfect	此人为武神转世，一旦开窍则天地惊、鬼神泣，当世无人是其敌手。
47	Perfect	此人为情所困，郁郁寡欢，遂寄情武学，黯然掌、销魂腿均由其创出。
48	Perfect	此人嗜枣，久而久之，练出一门口吐暗器的功夫，八百里开外镖无虚发。
49	Perfect	此人骨骼精奇，是万中无一的武学奇才，少侠你捡到宝了！
50	Perfect	此人经脉强韧，真气流动如江河奔流，修炼一日抵得百日之功。
51	Perfect	此人幼时不小心摔通了任督二脉，真气周转，运拳行腿自有风生。
52	Perfect	此人机缘巧合得一身浑厚内力，只要稍加教导便能收放自如，成为高手。
53	Perfect	此人为觉醒的纯阳血脉，根骨天赋极佳，若遇上阴极的玄阴血脉，则可同化龙凤。
54	Perfect	此人貌似潘安，粉丝遍布神州，一呼百应，门派壮大轻而易举。
55	Perfect	此人貌似潘安，粉丝遍布神州，一呼百应，门派壮大轻而易举。
56	Perfect	此人苦心锻炼了三年，变秃了，也变强了，自此没有一拳解决不了的事情。
57	Perfect	此人骨骼精奇，是万中无一的武学奇才，少侠你捡到宝了！
58	Perfect	此人为不世出的武学奇才，仅仅通过练习村中启蒙的健体操，练就了一身绝强内力。
59	Perfect	此人身怀麒麟血脉，额上生角，力大无比，举手投足迅雷猛击。
60	Perfect	此人天生力大无穷，动辄开碑裂石,一身横练功夫，刀枪不入，水火不侵。
